Time_Sec,Weighted_Value
128.233333,-0.0025516000000000002
128.266667,-0.029790200000000003
128.3,-0.053756
128.333333,-0.06322080000000001
128.366667,-0.0501704
128.4,-0.014917800000000002
128.433333,0.033274
128.466667,0.07978980000000001
128.5,0.11003480000000002
128.533333,0.1143034
128.566667,0.09084160000000001
128.6,0.0462414
128.633333,-0.0071016
128.666667,-0.05543540000000001
128.7,-0.08804859999999999
128.733333,-0.1000352
128.766667,-0.0928482
128.8,-0.072785
128.833333,-0.04816960000000001
128.866667,-0.026515200000000006
128.9,-0.012721200000000002
128.933333,-0.008413200000000001
128.966667,-0.012029000000000001
129.0,-0.019566999999999998
129.033333,-0.026072799999999997
129.066667,-0.027384000000000002
129.1,-0.0213584
129.133333,-0.0082958
129.166667,0.009307200000000002
129.2,0.027617600000000003
129.233333,0.0428176
129.266667,0.052314000000000006
129.3,0.0551502
129.333333,0.051729800000000006
129.366667,0.043384799999999994
129.4,0.0319306
129.433333,0.0190658
129.466667,0.0058980000000000005
129.5,-0.006984200000000001
129.533333,-0.019048600000000002
129.566667,-0.029466
129.6,-0.037013599999999994
129.633333,-0.040103400000000004
129.666667,-0.03713
129.7,-0.0273246
129.733333,-0.0116656
129.766667,0.0068866
129.8,0.02401
129.833333,0.035167000000000004
129.866667,0.03707
129.9,0.0291584
129.933333,0.014280199999999998
129.966667,-0.0021726
130.0,-0.014373
130.033333,-0.018317200000000002
130.066667,-0.013353800000000002
130.1,-0.002537
130.133333,0.0085196
130.166667,0.014146200000000001
130.2,0.011301400000000001
130.233333,0.0009618000000000001
130.266667,-0.012400000000000001
130.3,-0.0227936
130.333333,-0.025295400000000003
130.366667,-0.018249
130.4,-0.0040118
130.433333,0.0122094
130.466667,0.024651800000000005
130.5,0.0291012
130.533333,0.0241332
130.566667,0.0114478
130.6,-0.0047754
130.633333,-0.0194742
130.666667,-0.028564800000000005
130.7,-0.030130399999999998
130.733333,-0.024620000000000003
130.766667,-0.014334600000000001
130.8,-0.0024182
130.833333,0.008376999999999999
130.866667,0.0164754
130.9,0.0213138
130.933333,0.022633800000000003
130.966667,0.020090399999999998
131.0,0.013428200000000001
131.033333,0.0028998
131.066667,-0.0102638
131.1,-0.0235018
131.133333,-0.033239
131.166667,-0.036247400000000006
131.2,-0.031429
131.233333,-0.0208
131.266667,-0.0090528
131.3,-0.0018908
131.333333,-0.0036246000000000004
131.366667,-0.0147744
131.4,-0.030858800000000002
131.433333,-0.0432958
131.466667,-0.042196199999999996
131.5,-0.019970200000000004
131.533333,0.0252896
131.566667,0.0876268
131.6,0.15346100000000004
131.633333,0.2050304
131.666667,0.2261692
131.7,0.2080862
131.733333,0.1526682
131.766667,0.0718584
131.8,-0.016877600000000003
131.833333,-0.0971524
131.866667,-0.1590434
131.9,-0.20055199999999998
131.933333,-0.22485639999999998
131.966667,-0.2355806
132.0,-0.2330608
132.033333,-0.2137458
132.066667,-0.1730564
132.1,-0.10997559999999999
132.133333,-0.030423000000000002
132.166667,0.05290480000000001
132.2,0.12439180000000001
132.233333,0.17117600000000002
132.266667,0.18783560000000002
132.3,0.1776802
132.333333,0.1499808
132.366667,0.11484720000000001
132.4,0.07878519999999999
132.433333,0.0432316
132.466667,0.006459200000000001
132.5,-0.032444400000000005
132.533333,-0.06988240000000001
132.566667,-0.096969
132.6,-0.1028816
132.633333,-0.0807364
132.666667,-0.032306
132.7,0.0312676
132.733333,0.0928364
132.766667,0.1347644
132.8,0.14457240000000002
132.833333,0.119108
132.866667,0.0657334
132.9,-0.00029439999999999995
132.933333,-0.061293600000000004
132.966667,-0.10306020000000002
133.0,-0.11890340000000002
133.033333,-0.1106108
133.066667,-0.0863402
133.1,-0.0565598
133.133333,-0.030058000000000005
133.166667,-0.0116892
133.2,-0.002142
133.233333,0.0010214000000000002
133.266667,0.0017092000000000003
133.3,0.0034580000000000006
133.333333,0.008025
133.366667,0.015017400000000002
133.4,0.022430000000000005
133.433333,0.027586199999999998
133.466667,0.028223599999999998
133.5,0.0235868
133.533333,0.014918
133.566667,0.004812
133.6,-0.004165800000000001
133.633333,-0.0105798
133.666667,-0.0144236
133.7,-0.0167238
133.733333,-0.018653000000000003
133.766667,-0.0204258
133.8,-0.020677200000000003
133.833333,-0.01695
133.866667,-0.007068800000000001
133.9,0.009438200000000002
133.933333,0.030504800000000002
133.966667,0.0515982
134.0,0.0669366
134.033333,0.0716374
134.066667,0.0636472
134.1,0.04426220000000001
134.133333,0.0172182
134.166667,-0.0126788
134.2,-0.040644400000000004
134.233333,-0.0626242
134.266667,-0.07562060000000001
134.3,-0.07773520000000002
134.333333,-0.0683164
134.366667,-0.048452
134.4,-0.021367600000000004
134.433333,0.0079612
134.466667,0.033988000000000004
134.5,0.0520028
134.533333,0.059326199999999996
134.566667,0.0559938
134.6,0.04451580000000001
134.633333,0.028604
134.666667,0.011595000000000001
134.7,-0.0044168
134.733333,-0.0185266
134.766667,-0.030499200000000004
134.8,-0.040100000000000004
134.833333,-0.046428800000000006
134.866667,-0.047703800000000005
134.9,-0.041859
134.933333,-0.0276448
134.966667,-0.0055356
135.0,0.021823400000000003
135.033333,0.0496346
135.066667,0.07169840000000001
135.1,0.08208040000000003
135.133333,0.077065
135.166667,0.056396400000000006
135.2,0.0234082
135.233333,-0.015702000000000004
